Time stamp,Field thermal power leaving in steam | (MWt),Field timestep-averaged outlet quality,Field timestep-averaged outlet temperature | (C),Field total mass flow rate | (kg/s)
"Jun 9, 08:00 pm",-0.0087952,-1,212.865,0.29554
"Jun 9, 09:00 pm",-0.00425288,-1,189.079,0.29554
"Jun 9, 10:00 pm",-0.00376001,-1,171.258,0.29554
"Jun 9, 11:00 pm",-0.00323194,-1,155.228,0.29554
"Jun 10, 12:00 am",-0.00279851,-1,141.403,0.29554
"Jun 10, 01:00 am",-0.00246042,-1,129.235,0.29554
"Jun 10, 02:00 am",-0.00217561,-1,118.476,0.29554
"Jun 10, 03:00 am",-0.00191454,-1,108.973,0.29554
"Jun 10, 04:00 am",-0.00171786,-1,100.519,0.29554
"Jun 10, 05:00 am",-0.00148208,-1,93.0999,0.29554
"Jun 10, 06:00 am",0.0261801,-1,159.901,0.29554
"Jun 10, 07:00 am",0.826284,0.530454,269.965,0.764419
"Jun 10, 08:00 am",1.52608,0.623564,269.965,1.27788
"Jun 10, 09:00 am",1.81854,0.625003,269.965,1.52003
"Jun 10, 10:00 am",1.96658,0.625349,269.965,1.64309
"Jun 10, 11:00 am",2.02097,0.625556,269.965,1.68811
"Jun 10, 12:00 pm",2.07251,0.62576,269.965,1.73072
"Jun 10, 01:00 pm",1.99667,0.625526,269.965,1.66786
"Jun 10, 02:00 pm",1.92803,0.625338,269.965,1.61089
"Jun 10, 03:00 pm",1.73179,0.625365,269.965,1.44676
"Jun 10, 04:00 pm",1.37214,0.624576,269.965,1.14735
"Jun 10, 05:00 pm",0.789075,0.624916,269.965,0.659348
"Jun 10, 06:00 pm",0.10001,0.0898624,269.965,0.29554
"Jun 10, 07:00 pm",0.0125971,-1,239.105,0.29554
"Jun 10, 08:00 pm",-0.00883422,-1,212.412,0.29554
"Jun 10, 09:00 pm",-0.00421948,-1,188.74,0.29554
"Jun 10, 10:00 pm",-0.00378477,-1,170.889,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Jun 10, 11:00 pm",-0.00324753,-1,154.763,0.29554
"Feb 5, 12:00 am",-0.00237982,-1,106.111,0.29554
"Feb 5, 01:00 am",-0.00208611,-1,95.6799,0.29554
"Feb 5, 02:00 am",-0.00184,-1,86.5049,0.29554
"Feb 5, 03:00 am",-0.00163185,-1,78.395,0.29554
"Feb 5, 04:00 am",-0.00145422,-1,71.1951,0.29554
"Feb 5, 05:00 am",-0.00130147,-1,64.7778,0.29554
"Feb 5, 06:00 am",-0.00116921,-1,59.0382,0.29554
"Feb 5, 07:00 am",-0.00103345,-1,53.9466,0.29554
"Feb 5, 08:00 am",0.0340044,-1,143.232,0.29554
"Feb 5, 09:00 am",0.79391,0.528504,269.965,0.737486
"Feb 5, 10:00 am",1.2001,0.624449,269.965,1.00359
"Feb 5, 11:00 am",1.17428,0.624607,269.965,0.981786
"Feb 5, 12:00 pm",1.18898,0.624607,269.965,0.99408
"Feb 5, 01:00 pm",1.18888,0.625362,269.965,0.992992
"Feb 5, 02:00 pm",0.0270022,-1,249.282,0.29554
"Feb 5, 03:00 pm",-0.00983481,-1,220.896,0.29554
"Feb 5, 04:00 pm",-0.00518187,-1,192.311,0.29554
"Feb 5, 05:00 pm",-0.00305099,-1,174.787,0.29554
"Feb 5, 06:00 pm",-0.00402746,-1,158.316,0.29554
"Feb 5, 07:00 pm",-0.00341961,-1,140.963,0.29554
"Feb 5, 08:00 pm",-0.00292884,-1,126.307,0.29554
"Feb 5, 09:00 pm",-0.00254301,-1,113.565,0.29554
"Feb 5, 10:00 pm",-0.00224508,-1,102.387,0.29554
"Feb 5, 11:00 pm",-0.00199846,-1,92.4599,0.29554
"Feb 6, 12:00 am",-0.00176602,-1,83.661,0.29554
"Feb 6, 01:00 am",-0.00156886,-1,75.874,0.29554
"Feb 6, 02:00 am",-0.00140022,-1,68.9507,0.29554
"Feb 6, 03:00 am",-0.00125479,-1,62.7727,0.29554
"Feb 6, 04:00 am",-0.00112864,-1,57.2409,0.29554
"Feb 6, 05:00 am",-0.00101855,-1,52.2729,0.29554
"Feb 6, 06:00 am",-0.000922002,-1,47.799,0.29554
"Feb 6, 07:00 am",-0.000817396,-1,43.8154,0.29554
"Feb 6, 08:00 am",0.0394155,-1,147.826,0.29554
"Feb 6, 09:00 am",0.910524,0.568001,269.965,0.811449
"Feb 6, 10:00 am",1.28911,0.624569,269.965,1.0779
"Feb 6, 11:00 am",1.28144,0.624767,269.965,1.0712
"Feb 6, 12:00 pm",1.2992,0.624701,269.965,1.08614
"Feb 6, 01:00 pm",1.2958,0.624734,269.965,1.08325
"Feb 6, 02:00 pm",1.29368,0.624739,269.965,1.08147
"Feb 6, 03:00 pm",1.11684,0.623609,269.965,0.934992
"Feb 6, 04:00 pm",0.625733,0.623734,269.965,0.523655
"Feb 6, 05:00 pm",0.0221902,-1,245.906,0.29554
"Feb 6, 06:00 pm",-0.00978003,-1,217.44,0.29554
"Feb 6, 07:00 pm",-0.00521293,-1,188.852,0.29554
"Feb 6, 08:00 pm",-0.0043686,-1,167.666,0.29554
"Feb 6, 09:00 pm",-0.0037432,-1,148.99,0.29554
"Feb 6, 10:00 pm",-0.00317797,-1,133.051,0.29554
"Feb 6, 11:00 pm",-0.00277252,-1,119.215,0.29554
"Feb 7, 12:00 am",-0.00240959,-1,107.134,0.29554
"Feb 7, 01:00 am",-0.00211073,-1,96.5777,0.29554
"Feb 7, 02:00 am",-0.0018608,-1,87.2963,0.29554
"Feb 7, 03:00 am",-0.00167277,-1,79.0307,0.29554
"Feb 7, 04:00 am",-0.00148935,-1,71.6474,0.29554
"Feb 7, 05:00 am",-0.00130986,-1,65.1359,0.29554
"Feb 7, 06:00 am",-0.00117651,-1,59.3608,0.29554
"Feb 7, 07:00 am",-0.00103984,-1,54.2362,0.29554
"Feb 7, 08:00 am",0.00849745,-1,75.3531,0.29554
"Feb 7, 09:00 am",0.615736,0.375892,269.965,0.567246
"Feb 7, 10:00 am",1.28761,0.624587,269.965,1.07662
"Feb 7, 11:00 am",1.27551,0.623608,269.965,1.06789
"Feb 7, 12:00 pm",1.29162,0.624742,269.965,1.07974
"Feb 7, 01:00 pm",1.28657,0.624774,269.965,1.07548
"Feb 7, 02:00 pm",1.28997,0.624761,269.965,1.07834
"Feb 7, 03:00 pm",1.11201,0.624657,269.965,0.929635
"Feb 7, 04:00 pm",0.623864,0.623791,269.965,0.522051
"Feb 7, 05:00 pm",0.0239373,-1,247.135,0.29554
"Feb 7, 06:00 pm",-0.00964886,-1,219.245,0.29554
"Feb 7, 07:00 pm",-0.00515069,-1,190.944,0.29554
"Feb 7, 08:00 pm",-0.00438138,-1,169.907,0.29554
"Feb 7, 09:00 pm",-0.00375519,-1,151.188,0.29554
"Feb 7, 10:00 pm",-0.00318609,-1,135.224,0.29554
"Feb 7, 11:00 pm",-0.00275179,-1,121.443,0.29554
